date,Max Temp,Avg Temp,Min Temp,
26/10/2011,59,50.8,43,
27/10/2011,63,49.7,39,
28/10/2011,66,55.8,46,
29/10/2011,63,56.7,48,
30/10/2011,61,57.1,54,
31/10/2011,63,55.5,48,
1/11/2011,63,54,45,
2/11/2011,59,53.5,48,
3/11/2011,64,57,48,
4/11/2011,66,59.8,54,
5/11/2011,63,56.3,52,
6/11/2011,55,54.2,52,
7/11/2011,52,49.3,48,
8/11/2011,54,48.6,45,
9/11/2011,59,51.8,45,
10/11/2011,57,45.7,37,
11/11/2011,52,42.4,36,
12/11/2011,55,44.5,36,
13/11/2011,43,42.1,37,
14/11/2011,48,40.8,36,
15/11/2011,45,35.7,28,
16/11/2011,46,34.5,27,
17/11/2011,48,43,30,
18/11/2011,52,45.2,36,
19/11/2011,50,40.1,32,
20/11/2011,54,38.3,28,
21/11/2011,39,34.7,32,
22/11/2011,57,43.4,36,
23/11/2011,54,50.7,46,
24/11/2011,50,46.5,43,
25/11/2011,48,45.5,43,
26/11/2011,52,46.5,41,
27/11/2011,54,48.1,39,
28/11/2011,48,40.4,32,
29/11/2011,50,43.3,0,
30/11/2011,52,46.3,43,
1/12/2011,55,50.8,39,
2/12/2011,54,46.1,43,
3/12/2011,52,47,45,
4/12/2011,50,47.6,43,
5/12/2011,45,42,39,
6/12/2011,45,40,37,
7/12/2011,48,45.3,41,
8/12/2011,54,46.1,39,
9/12/2011,52,44.5,41,
10/12/2011,45,39.3,36,
11/12/2011,45,39.9,36,
12/12/2011,48,45.7,43,
13/12/2011,52,46.6,39,
14/12/2011,45,41.5,37,
15/12/2011,46,43.1,41,
16/12/2011,43,38.8,34,
17/12/2011,45,40.1,36,
18/12/2011,41,36.6,34,
19/12/2011,39,35.5,34,
20/12/2011,46,42.3,36,
21/12/2011,45,42.7,41,
22/12/2011,52,49.5,45,
23/12/2011,50,48.9,45,
24/12/2011,46,43.2,41,
25/12/2011,52,47.4,43,
26/12/2011,50,49.3,48,
27/12/2011,50,47.5,45,
28/12/2011,45,43.4,41,
29/12/2011,48,43.1,41,
30/12/2011,45,42.7,39,
31/12/2011,54,47.8,39,
1/1/2012,57,54.3,50,
2/1/2012,52,46,41,
3/1/2012,54,46.8,41,
4/1/2012,46,45.3,43,
5/1/2012,52,46.7,41,
6/1/2012,46,43.4,39,
7/1/2012,50,46.2,41,
8/1/2012,48,45.3,41,
9/1/2012,50,47.1,45,
10/1/2012,50,48.3,45,
11/1/2012,50,48.4,46,
12/1/2012,52,47.1,43,
13/01/2012,45,41.8,39,
14/01/2012,45,40,30,
15/01/2012,41,32.7,25,
16/01/2012,39,31.8,27,
17/01/2012,43,32.5,23,
18/01/2012,43,36.5,28,
19/01/2012,52,46.8,43,
20/01/2012,45,42.5,39,
21/01/2012,52,47.1,41,
22/01/2012,52,45.9,41,
23/01/2012,46,42.9,41,
24/01/2012,41,38.6,36,
25/01/2012,43,41,39,
26/01/2012,48,44.3,41,
27/01/2012,48,41.6,37,
28/01/2012,43,38.3,34,
29/01/2012,34,32.3,30,
30/01/2012,32,29.9,28,
31/01/2012,30,28.1,23,
1/2/2012,30,23.4,19,
2/2/2012,27,21.2,18,
3/2/2012,25,18.6,14,
4/2/2012,19,11.5,5,
5/2/2012,23,18.1,9,
6/2/2012,28,22.1,16,
7/2/2012,23,17.4,10,
8/2/2012,30,25.5,21,
9/2/2012,32,24.4,18,
10/2/2012,30,22.8,18,
11/2/2012,27,19.7,12,
12/2/2012,30,24,12,
13/02/2012,41,35.3,30,
14/02/2012,43,40.3,39,
15/02/2012,45,43.1,41,
16/02/2012,48,43.5,41,
17/02/2012,50,44.3,41,
18/02/2012,48,46,39,
19/02/2012,43,38.4,34,
20/02/2012,43,36.9,30,
21/02/2012,48,40.9,36,
22/02/2012,48,43.1,37,
23/02/2012,54,48.2,43,
24/02/2012,54,50.1,48,
25/02/2012,48,44.7,37,
26/02/2012,45,42.7,39,
27/02/2012,48,42.7,36,
28/02/2012,50,48.1,46,
29/02/2012,50,48.5,46,
1/3/2012,48,45.9,45,
2/3/2012,48,46.6,45,
3/3/2012,55,50.5,46,
4/3/2012,52,47.4,43,
5/3/2012,46,37.9,36,
6/3/2012,46,40.5,32,
